timestamp,event_type,threat_level,path,description,old_hash,new_hash,old_mode,new_mode,old_uid,new_uid,old_gid,new_gid,old_symlink,new_symlink
"2026-03-09_17-34-47","MetadataModified",0,"./sample_root/etc/pam.d/login","Изменены метаданные файла","fd0239f0df5bfecb83d61af0ed80e4d7c2edc391e08fdf0af0f80fceccdebd67","fd0239f0df5bfecb83d61af0ed80e4d7c2edc391e08fdf0af0f80fceccdebd67",420,511,0,0,0,0,"",""
"2026-03-09_17-34-47","ContentModified",0,"./sample_root/bin/app","Изменено содержимое файла","b20c8fea8cb3e467783c5cdadf0707124cac5db72f9a6c3abba79fa0a42df627","8fb429b19e5a2d479dc723e238c98157369ad4bc754c82972a6fd93d3bcb25ef",420,420,0,0,0,0,"",""
